gap buse (µm);shift buse (µm);Viscosite eta0 (Pa.s);ratio surface goutte/puit;run_id;CA substrat (deg);CA mur droit (deg);CA mur gauche (deg);nom fichier png
30;-75;0.5;1.2;116;15;15;15;run_116_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface1.2.png
30;-75;1.5;0.8;117;15;15;15;run_117_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface0.8.png
30;-75;1.5;1.2;118;15;15;15;run_118_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface1.2.png
30;-75;5.0;0.8;119;15;15;15;run_119_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface0.8.png
30;-75;5.0;1.2;120;15;15;15;run_120_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface1.2.png
30;-150;0.5;0.8;121;15;15;15;run_121_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface0.8.png
30;-150;0.5;1.2;122;15;15;15;run_122_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface1.2.png
30;-150;1.5;0.8;123;15;15;15;run_123_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface0.8.png
30;-150;1.5;1.2;124;15;15;15;run_124_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface1.2.png
30;-150;5.0;0.8;125;15;15;15;run_125_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface0.8.png
30;-150;5.0;1.2;126;15;15;15;run_126_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface1.2.png
120;0;0.5;0.8;127;15;15;15;run_127_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface0.8.png
120;0;0.5;1.2;128;15;15;15;run_128_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface1.2.png
120;0;1.5;0.8;129;15;15;15;run_129_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface0.8.png
120;0;1.5;1.2;130;15;15;15;run_130_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface1.2.png
120;0;5.0;0.8;131;15;15;15;run_131_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface0.8.png
120;0;5.0;1.2;132;15;15;15;run_132_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface1.2.png
120;-75;0.5;0.8;133;15;15;15;run_133_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface0.8.png
120;-75;0.5;1.2;134;15;15;15;run_134_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface1.2.png
120;-75;1.5;0.8;135;15;15;15;run_135_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface0.8.png
120;-75;1.5;1.2;136;15;15;15;run_136_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface1.2.png
120;-75;5.0;0.8;137;15;15;15;run_137_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface0.8.png
120;-75;5.0;1.2;138;15;15;15;run_138_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface1.2.png
120;-150;0.5;0.8;139;15;15;15;run_139_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface0.8.png
120;-150;0.5;1.2;140;15;15;15;run_140_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface1.2.png
120;-150;1.5;0.8;141;15;15;15;run_141_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface0.8.png
120;-150;1.5;1.2;142;15;15;15;run_142_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface1.2.png
120;-150;5.0;0.8;143;15;15;15;run_143_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface0.8.png
120;-150;5.0;1.2;144;15;15;15;run_144_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface1.2.png
