run_id;gap buse (µm);shift buse (µm);Viscosite eta0 (Pa.s);ratio surface goutte/puit;CA substrat (deg);CA mur droit (deg);CA mur gauche (deg);nom fichier gif
97;120;-75;0.5;0.8;35;15;15;run_097_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface0.8.gif
98;120;-75;0.5;1.2;35;15;15;run_098_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface1.2.gif
99;120;-75;1.5;0.8;35;15;15;run_099_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface0.8.gif
100;120;-75;1.5;1.2;35;15;15;run_100_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface1.2.gif
101;120;-75;5.0;0.8;35;15;15;run_101_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface0.8.gif
102;120;-75;5.0;1.2;35;15;15;run_102_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface1.2.gif
103;120;-150;0.5;0.8;35;15;15;run_103_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface0.8.gif
104;120;-150;0.5;1.2;35;15;15;run_104_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface1.2.gif
105;120;-150;1.5;0.8;35;15;15;run_105_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface0.8.gif
106;120;-150;1.5;1.2;35;15;15;run_106_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface1.2.gif
107;120;-150;5.0;0.8;35;15;15;run_107_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface0.8.gif
108;120;-150;5.0;1.2;35;15;15;run_108_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface1.2.gif
109;30;0;0.5;0.8;15;15;15;run_109_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface0.8.gif
110;30;0;0.5;1.2;15;15;15;run_110_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface1.2.gif
111;30;0;1.5;0.8;15;15;15;run_111_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface0.8.gif
112;30;0;1.5;1.2;15;15;15;run_112_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface1.2.gif
113;30;0;5.0;0.8;15;15;15;run_113_y_gap_buse0.03_x_gap_buse0_eta05_ratio_surface0.8.gif
114;30;0;5.0;1.2;15;15;15;run_114_y_gap_buse0.03_x_gap_buse0_eta05_ratio_surface1.2.gif
115;30;-75;0.5;0.8;15;15;15;run_115_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface0.8.gif
116;30;-75;0.5;1.2;15;15;15;run_116_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface1.2.gif
117;30;-75;1.5;0.8;15;15;15;run_117_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface0.8.gif
118;30;-75;1.5;1.2;15;15;15;run_118_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface1.2.gif
119;30;-75;5.0;0.8;15;15;15;run_119_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface0.8.gif
120;30;-75;5.0;1.2;15;15;15;run_120_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface1.2.gif
121;30;-150;0.5;0.8;15;15;15;run_121_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface0.8.gif
122;30;-150;0.5;1.2;15;15;15;run_122_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface1.2.gif
123;30;-150;1.5;0.8;15;15;15;run_123_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface0.8.gif
124;30;-150;1.5;1.2;15;15;15;run_124_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface1.2.gif
125;30;-150;5.0;0.8;15;15;15;run_125_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface0.8.gif
126;30;-150;5.0;1.2;15;15;15;run_126_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface1.2.gif
127;120;0;0.5;0.8;15;15;15;run_127_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface0.8.gif
128;120;0;0.5;1.2;15;15;15;run_128_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface1.2.gif
129;120;0;1.5;0.8;15;15;15;run_129_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface0.8.gif
130;120;0;1.5;1.2;15;15;15;run_130_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface1.2.gif
131;120;0;5.0;0.8;15;15;15;run_131_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface0.8.gif
132;120;0;5.0;1.2;15;15;15;run_132_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface1.2.gif
133;120;-75;0.5;0.8;15;15;15;run_133_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface0.8.gif
134;120;-75;0.5;1.2;15;15;15;run_134_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface1.2.gif
