nom fichier gif;ratio surface goutte/puit;CA substrat (deg);CA mur gauche (deg);CA mur droit (deg);CA plateau gauche (deg);Viscosite eta0 (Pa.s);shift X (um)
lbm_301.gif;1,1999;60;15;90;15;0,5;0
lbm_302.gif;1,1999;60;15;90;15;0,5;-75
lbm_303.gif;1,1999;60;15;90;15;1,5;0
lbm_304.gif;1,1999;60;15;90;15;1,5;-75
lbm_305.gif;1,1999;35;35;35;15;0,5;0
lbm_306.gif;1,1999;35;35;35;15;0,5;-75
lbm_307.gif;1,1999;35;35;35;15;1,5;0
lbm_308.gif;1,1999;35;35;35;15;1,5;-75
lbm_309.gif;1,1999;35;35;90;15;0,5;0
lbm_310.gif;1,1999;35;35;90;15;0,5;-75
lbm_311.gif;1,1999;35;35;90;15;1,5;0
lbm_312.gif;1,1999;35;35;90;15;1,5;-75
lbm_313.gif;1,1999;60;35;35;15;0,5;0
lbm_314.gif;1,1999;60;35;35;15;0,5;-75
lbm_315.gif;1,1999;60;35;35;15;1,5;0
lbm_316.gif;1,1999;60;35;35;15;1,5;-75
lbm_317.gif;1,1999;60;35;90;15;0,5;0
lbm_318.gif;1,1999;60;35;90;15;0,5;-75
lbm_319.gif;1,1999;60;35;90;15;1,5;0
lbm_320.gif;1,1999;60;35;90;15;1,5;-75
lbm_321.gif;1,1999;35;90;35;15;0,5;0
lbm_322.gif;1,1999;35;90;35;15;0,5;-75
lbm_323.gif;1,1999;35;90;35;15;1,5;0
lbm_324.gif;1,1999;35;90;35;15;1,5;-75
lbm_325.gif;1,1999;35;90;90;15;0,5;0
lbm_326.gif;1,1999;35;90;90;15;0,5;-75
lbm_327.gif;1,1999;35;90;90;15;1,5;0
lbm_328.gif;1,1999;35;90;90;15;1,5;-75
lbm_329.gif;1,1999;60;90;35;15;0,5;0
lbm_330.gif;1,1999;60;90;35;15;0,5;-75
lbm_331.gif;1,1999;60;90;35;15;1,5;0
lbm_332.gif;1,1999;60;90;35;15;1,5;-75
lbm_333.gif;1,1999;60;90;90;15;0,5;0
lbm_334.gif;1,1999;60;90;90;15;0,5;-75
lbm_335.gif;1,1999;60;90;90;15;1,5;0
lbm_336.gif;1,1999;60;90;90;15;1,5;-75
